User-ID,Location,Age
1,"houston, texas, usa",NULL
2,"houston, texas, usa",18
3,"houston, texas, usa",NULL
4,"houston, texas, usa",17
5,"houston, texas, usa",NULL
6,"houston, texas, usa",61
7,"houston, texas, usa",NULL
8,"houston, texas, usa",NULL
9,"houston, texas, usa",NULL
10,"houston, texas, usa",26
11,"houston, texas, usa",14
12,"houston, texas, usa",NULL
13,"houston, texas, usa",26
14,"houston, texas, usa",NULL
15,"houston, texas, usa",NULL
16,"houston, texas, usa",NULL
17,"houston, texas, usa",NULL
18,"houston, texas, usa",25
19,"houston, texas, usa",14
20,"houston, texas, usa",19
21,"houston, texas, usa",46
22,"houston, texas, usa",NULL
23,"houston, texas, usa",NULL
24,"houston, texas, usa",19
25,"houston, texas, usa",55
26,"houston, texas, usa",NULL
27,"houston, texas, usa",32
28,"houston, texas, usa",24
29,"houston, texas, usa",19
30,"houston, texas, usa",24
31,"houston, texas, usa",20
32,"houston, texas, usa",NULL
33,"houston, texas, usa",34
34,"houston, texas, usa",NULL
35,"houston, texas, usa",17
36,"houston, texas, usa",24
37,"houston, texas, usa",23
38,"houston, texas, usa",34
39,"houston, texas, usa",NULL
40,"houston, texas, usa",32
41,"houston, texas, usa",14
42,"houston, texas, usa",17
43,"houston, texas, usa",NULL
44,"houston, texas, usa",51
45,"houston, texas, usa",NULL
46,"houston, texas, usa",31
47,"houston, texas, usa",21
48,"houston, texas, usa",NULL
49,"houston, texas, usa",NULL
50,"houston, texas, usa",17
51,"houston, texas, usa",34
52,"houston, texas, usa",NULL
53,"houston, texas, usa",NULL
54,"houston, texas, usa",44
55,"houston, texas, usa",NULL
56,"houston, texas, usa",24
57,"houston, texas, usa",NULL
58,"houston, texas, usa",NULL
59,"houston, texas, usa",23
60,"houston, texas, usa",NULL
61,"houston, texas, usa",30
62,"houston, texas, usa",NULL
63,"houston, texas, usa",57
64,"houston, texas, usa",32
65,"houston, texas, usa",NULL
66,"houston, texas, usa",30
67,"houston, texas, usa",43
68,"houston, texas, usa",NULL
69,"houston, texas, usa",NULL
70,"houston, texas, usa",44
71,"houston, texas, usa",24
72,"houston, texas, usa",34
73,"houston, texas, usa",NULL
74,"houston, texas, usa",30
75,"houston, texas, usa",37
76,"houston, texas, usa",NULL
